pricePerUnit;brand;productType;identificationID;dimensions;title;quantityAvailable;mainImage;technicalSheetURL
25.2;Interface;Réemploi;GIZ2202010;50x50;Composure Diffuse;90;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/interface-composure-diffuse-logo-mH5z.jpeg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/d94f9e38-eb58-47ae-8c71-4ba5d6e8b17f.pdf
16.8;Interface;Réemploi;GIZ2111008;50x50;Heuga 727 Dark Orchid;89;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/interface-heuga-727-dark-orchid-optimal-karpet-GVKg.jpg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/a027ee38-f249-4e3e-8c5e-97bfb83baf31.pdf
16.8;Interface;Réemploi;GIZ2111013;50x50;Heuga 727 Silver;58;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/interface-heuga-727-silver-optimal-karpet-hdnR.jpg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/bcf1434f-52da-4867-8522-51a0a9141863.pdf
28;Interface;Réemploi;GIZ2112001;25x100;On Line Cloud;49;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/interface-ON-LINE-CLOUD-qv3l.jpeg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/cd26794a-2f10-497f-8ba3-256f51b37c46.pdf
28;Interface;Réemploi;GIZ2112002;25x100;On Line Granite;79;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/interface-ON-LINE-GRANITE-detail-t0GG.jpeg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/c57b9947-4752-4d6a-812c-826da517b354.pdf
16.8;Interface;Réemploi;GIZ2203004;50x50;SYNCOPATION II Upbeat;152;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/interface-syncopation-II-upbeat-EgmA.jpg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/030c4c2a-4ee2-4120-b665-d6b6deb83f98.pdf
25.2;Balsan;Réemploi;GIZ2111002;50x50;Stoneage 160;68;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/balsan-stoneage-160-optimal-karpet-GilQ.jpg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/f0fac4a3-e8ab-4db5-9626-bf50317fcd6d.pdf
23.8;Milliken;Réemploi;GIZ2204002;45.7x45.7;Straight Talk Creme Brulee;191;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/milliken-straight-talk-creme-brullee-optimal-karpet-aAzP.jpeg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/2112ad96-7657-4696-9f09-25e197a8f014.pdf
10.5;Balsan;Réemploi;GIZ2202003;50x50;Karma Sonic Confort 910;44;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/balsan-KARMA-SONIC-CONFORT-AVEC-LOGO-KpHk.jpeg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/c5956783-2fe3-456e-9882-4866b27dd9cb.pdf
25.2;Balsan;Réemploi;GIZ2206005;50x50;Stoneage 915;29;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/BLASAN-STONE-AGE-GRIS-915-LOGO-f1Ok.jpg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/0d7327bd-4398-4ca7-aed9-1d281982652f.pdf
25.2;Balsan;Réemploi;GIZ2206004;50x50;Stoneage 730;44;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/BALSAN-STONE-AGE-MARRON-730-LOGO-BNLn.jpg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/0f4e22a1-2c9b-47d5-9e70-c511adcaf140.pdf
15.4;Desso;Réemploi;GIZ2201001;50x50;Flow 9013;213;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/DESSO-MARRON-CYCLE-UP-avec-logo-1fzG.jpg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/Flow 9013 SoundMaster-84QF.pdf
