sku,quantity,price
GIZ2202010,1,25.20
GIZ2111008,1,16.80
GIZ2111013,1,16.80
GIZ2112001,1,28.00
GIZ2112002,1,28.00
GIZ2203004,1,16.80
GIZ2111002,1,25.20
GIZ2204002,1,23.80
GIZ2202003,1,10.50
GIZ2206005,1,25.20
GIZ2206004,1,25.20
GIZ2201001,1,15.40
GIZ2209002,1,23.10
GIZ2209004,1,11.20
GIZ2201002,1,18.20
GIZ2209010,1,25.20
GIZ2210001,1,15.40
GIZ2210006,1,15.40
GIZ2208007,1,11.20
GIZ2208001,1,18.20
GIZ2203005,1,19.60
GIZ2210004,1,25.20
GIZ2210010,1,15.40
GIZ2211009,1,22.40
GIZ2111016,1,19.60
GIZ2212009,1,23.10
GIZ2210003,1,25.20
GIZ2202005,1,23.10
GIZ2212014,1,16.80
GIZ2210012,1,22.40
GIZ2210013,1,21.00
GIZ2211005,1,11.20
GIZ2301004,1,25.20
GIZ2301006,1,25.20
GIZ2211004,1,11.20
GIZ2302005-DV2328,1,24.50
GIZ2301008,1,18.20
GIZ2208011,1,11.20
GIZ2301010_bloqué DV 3326,1,22.40
GIZ2302006,1,22.40
GIZ2212008,1,11.20
GIZ2206001,1,25.20
GIZ2302003,1,22.40
GIZ2303002,1,25.20
GIZ2302009,1,30.80
GIZ2303005,1,11.20
GIZ2304006,1,22.40
GIZ2303007,1,22.40
GIZ2304005,1,22.40
GIZ2304002,1,15.40
GIZ2304001,1,21.00
GIZ2303001,1,23.10
GIZ2305010,1,25.20
GIZ2304003,1,15.40
GIZ2306003,1,23.80
GIZ2301011,1,19.60
GIZ2208004,1,21.00
GIZ2306005,1,15.40
GIZ2301007,1,15.40
GIZ2307004,1,15.40
GIZ2307005,1,22.40
GIZ2305006,1,11.20
GIZ2305007,1,11.20
GIZ2305008,1,11.20
GIZ2306001,1,19.60
GIZ2305011,1,15.40
GIZ2307016,1,15.40
GIZ2307018,1,26.60
GIZ2307019,1,26.60
GIZ2307009,1,26.60
GIZ2307010,1,26.60
GIZ2307011,1,25.20
GIZ2306009,1,15.40
GIZ2307002,1,22.40
GIZ2309007,1,25.20
GIZ2308004,1,15.40
GIZ2310003,1,28.00
GIZ2306004,1,23.10
GIZ2307020,1,19.60
GIZ2309010,1,16.80
GIZ2303004,1,16.80
GIZ2310001,1,19.60
GIZ2310005,1,16.80
GIZ2310007,1,19.60
GIZ2309001,1,19.60
GIZ2305009,1,25.20
GIZ2311005,1,25.20
GIZ2311011,1,26.60
GIZ2311012,1,26.60
GIZ2311014,1,26.60
GIZ2205007,1,12.60
GIZ2309008,1,8.40
GIZ2310004,1,15.40
GIZ2310006,1,15.40
GIZ2311001,1,23.10
GIZ2311002,1,23.10
GIZ2311004,1,23.10
GIZ2111004,1,25.20
GIZ2312002,1,16.80
GIZ2312008,1,19.60
GIZ2401005,1,24.50
GIZ2205004,1,21.00
GIZ2401001,1,19.60
GIZ2401002,1,19.60
GIZ2401003,1,19.60
GIZ2311007,1,22.40
GIZ2311008,1,22.40
GIZ2311013,1,19.60
GIZ2312001,1,22.40
GIZ2312009,1,30.80
2312005-01_attente nettoyage,1,24.50
GIZ2312006,1,21.00
GIZ2301009,1,18.90
GIZ2111005,1,16.80
GIZ2204005,1,16.80
GIZ2206006,1,25.20
GIZ2301002,1,25.20
GIZ2210002,1,25.20
240109-01,1,25.20
240201-01,1,18.20
240201-02,1,18.20
240213-01,1,19.60
240202-01,1,16.80
240204-01,1,15.40
240208-01,1,19.60
240304-02,1,19.60
240304-03,1,19.60
240305-01,1,16.80
240211-06,1,16.80
240211-01,1,19.60
GIZ2306006,1,12.60
GIZ2401007,1,14.00
240211-02,1,19.60
240207-01-bloqué Nicolas 03/12,1,18.20
240310-01,1,12.60
240401-01,1,18.20
240505-01,1,25.20
240314-01,1,19.60
240801-01,1,16.80
240708-01,1,19.60
250307-02,1,19.60
241109-03,1,19.60
241105-02,1,19.60
250201-04,1,19.60
250307-01,1,19.60
250201-02,1,19.60
250302-01,1,17.50
250302-02,1,21.00
241109-07,1,19.60
250203-01,1,14.70
250201-03,1,14.70
240604-01,1,28.00
240309-02,1,21.00
240501-01,1,19.60
240502-01,1,22.40
240502-02,1,22.40
240503-01,1,22.40
240803-02,1,18.00
240803-01-surplus,1,14.00
240803-03-Surplus,1,25.20
240506-01,1,19.60
240701-08,1,16.80
240701-01,1,16.80
240404-01,1,22.40
240707-01,1,25.20
240603-01,1,25.20
241101-01_,1,8.00
241101-02,1,18.00
240606-01,1,25.20
240901-01,1,22.40
240902-02,1,19.60
240702-01,1,19.60
240802-01,1,16.80
240804-02,1,19.60
240802-02,1,18.20
