sku,quantity,price
RCT-O-GIZ2202010,1,342.00
RCT-O-GIZ2111008,1,228.00
RCT-O-GIZ2112001,1,380.00
RCT-O-GIZ2111002,1,342.00
RCT-O-241105-02,1,266.00
MILLIKEN-GIZ2204002,1,323.00
MILLIKEN-GIZ2209010,1,342.00
MILLIKEN-GIZ2202005,1,313.00
MILLIKEN-GIZ2210012,1,304.00
MILLIKEN-GIZ2306003,1,323.00
RCT-C-TEST001,1,251.00
RCT-C-TEST002,1,258.00
RCT-C-TEST003,1,238.00
RCT-C-TEST004,1,271.00
RCT-C-TEST005,1,285.00
RC-SERVICE-MONTERING,1,45.00
RC-SERVICE-DEMONTERING,1,30.00
RC-SERVICE-RENGORING,1,30.00
