sku,quantity,price
RCT-O-GIZ2202010,1,238.00
RCT-O-GIZ2111008,1,159.00
RCT-O-GIZ2112001,1,264.00
RCT-O-GIZ2111002,1,238.00
RCT-O-241105-02,1,185.00
MILLIKEN-GIZ2204002,1,225.00
MILLIKEN-GIZ2209010,1,238.00
MILLIKEN-GIZ2202005,1,218.00
MILLIKEN-GIZ2210012,1,211.00
MILLIKEN-GIZ2306003,1,225.00
RCT-C-TEST001,1,175.00
RCT-C-TEST002,1,179.00
RCT-C-TEST003,1,165.00
RCT-C-TEST004,1,189.00
RCT-C-TEST005,1,198.00
RC-SERVICE-MONTERING,1,32.00
RC-SERVICE-DEMONTERING,1,21.00
RC-SERVICE-RENGORING,1,21.00
