sku,quantity,price
RCT-O-GIZ2202010,1,349.00
RCT-O-GIZ2111008,1,233.00
RCT-O-GIZ2112001,1,387.00
RCT-O-GIZ2111002,1,349.00
RCT-O-241105-02,1,271.00
MILLIKEN-GIZ2204002,1,329.00
MILLIKEN-GIZ2209010,1,349.00
MILLIKEN-GIZ2202005,1,320.00
MILLIKEN-GIZ2210012,1,310.00
MILLIKEN-GIZ2306003,1,329.00
RCT-C-TEST001,1,256.00
RCT-C-TEST002,1,263.00
RCT-C-TEST003,1,242.00
RCT-C-TEST004,1,277.00
RCT-C-TEST005,1,291.00
RC-SERVICE-MONTERING,1,46.00
RC-SERVICE-DEMONTERING,1,31.00
RC-SERVICE-RENGORING,1,31.00
