sku,quantity,price
RC-ORAK-GIZ2202010,1,384.27
RC-ORAK-GIZ2111008,1,256.18
RC-ORAK-GIZ2111013,1,256.18
RC-ORAK-GIZ2112001,1,426.97
RC-ORAK-GIZ2112002,1,426.97
RC-ORAK-GIZ2203004,1,256.18
RC-ORAK-GIZ2111002,1,384.27
RC-ORAK-GIZ2204002,1,362.93
RC-ORAK-GIZ2202003,1,160.12
RC-ORAK-GIZ2206005,1,384.27
RC-ORAK-GIZ2206004,1,384.27
RC-ORAK-GIZ2201001,1,234.84
RC-ORAK-GIZ2209002,1,352.25
RC-ORAK-GIZ2209004,1,170.79
RC-ORAK-GIZ2201002,1,277.53
RC-ORAK-GIZ2209010,1,384.27
RC-ORAK-GIZ2210001,1,234.84
RC-ORAK-GIZ2210006,1,234.84
RC-ORAK-GIZ2208007,1,170.79
RC-ORAK-GIZ2208001,1,277.53
RC-ORAK-GIZ2203005,1,298.88
RC-ORAK-GIZ2210004,1,384.27
RC-ORAK-GIZ2210010,1,234.84
RC-ORAK-GIZ2211009,1,341.58
RC-ORAK-GIZ2111016,1,298.88
RC-ORAK-GIZ2212009,1,352.25
RC-ORAK-GIZ2210003,1,384.27
RC-ORAK-GIZ2202005,1,352.25
RC-ORAK-GIZ2212014,1,256.18
RC-ORAK-GIZ2210012,1,341.58
RC-ORAK-GIZ2210013,1,320.23
RC-ORAK-GIZ2211005,1,170.79
RC-ORAK-GIZ2301004,1,384.27
RC-ORAK-GIZ2301006,1,384.27
RC-ORAK-GIZ2211004,1,170.79
RC-ORAK-GIZ2302005,1,373.60
RC-ORAK-GIZ2301008,1,277.53
RC-ORAK-GIZ2208011,1,170.79
RC-ORAK-GIZ2302006,1,341.58
RC-ORAK-GIZ2212008,1,170.79
RC-ORAK-GIZ2206001,1,384.27
RC-ORAK-GIZ2302003,1,341.58
RC-ORAK-GIZ2303002,1,384.27
RC-ORAK-GIZ2302009,1,469.67
RC-ORAK-GIZ2303005,1,170.79
RC-ORAK-GIZ2304006,1,341.58
RC-ORAK-GIZ2303007,1,341.58
RC-ORAK-GIZ2304005,1,341.58
RC-ORAK-GIZ2304002,1,234.84
RC-ORAK-GIZ2304001,1,320.23
RC-ORAK-GIZ2303001,1,352.25
RC-ORAK-GIZ2305010,1,384.27
RC-ORAK-GIZ2304003,1,234.84
RC-ORAK-GIZ2306003,1,362.93
RC-ORAK-GIZ2301011,1,298.88
RC-ORAK-GIZ2208004,1,320.23
RC-ORAK-GIZ2306005,1,234.84
RC-ORAK-GIZ2301007,1,234.84
RC-ORAK-GIZ2307004,1,234.84
RC-ORAK-GIZ2307005,1,341.58
RC-ORAK-GIZ2305006,1,170.79
RC-ORAK-GIZ2305007,1,170.79
RC-ORAK-GIZ2305008,1,170.79
RC-ORAK-GIZ2306001,1,298.88
RC-ORAK-GIZ2305011,1,234.84
RC-ORAK-GIZ2307016,1,234.84
RC-ORAK-GIZ2307018,1,405.62
RC-ORAK-GIZ2307019,1,405.62
RC-ORAK-GIZ2307009,1,405.62
RC-ORAK-GIZ2307010,1,405.62
RC-ORAK-GIZ2307011,1,384.27
RC-ORAK-GIZ2306009,1,234.84
RC-ORAK-GIZ2307002,1,341.58
RC-ORAK-GIZ2309007,1,384.27
RC-ORAK-GIZ2308004,1,234.84
RC-ORAK-GIZ2310003,1,426.97
RC-ORAK-GIZ2306004,1,352.25
RC-ORAK-GIZ2307020,1,298.88
RC-ORAK-GIZ2309010,1,256.18
RC-ORAK-GIZ2303004,1,256.18
RC-ORAK-GIZ2310001,1,298.88
RC-ORAK-GIZ2310005,1,256.18
RC-ORAK-GIZ2310007,1,298.88
RC-ORAK-GIZ2309001,1,298.88
RC-ORAK-GIZ2305009,1,384.27
RC-ORAK-GIZ2311005,1,384.27
RC-ORAK-GIZ2311011,1,405.62
RC-ORAK-GIZ2311012,1,405.62
RC-ORAK-GIZ2311014,1,405.62
RC-ORAK-GIZ2205007,1,192.14
RC-ORAK-GIZ2309008,1,128.09
RC-ORAK-GIZ2310004,1,234.84
RC-ORAK-GIZ2310006,1,234.84
RC-ORAK-GIZ2311001,1,352.25
RC-ORAK-GIZ2311002,1,352.25
RC-ORAK-GIZ2311004,1,352.25
RC-ORAK-GIZ2111004,1,384.27
RC-ORAK-GIZ2312002,1,256.18
RC-ORAK-GIZ2312008,1,298.88
RC-ORAK-GIZ2401005,1,373.60
RC-ORAK-GIZ2205004,1,320.23
RC-ORAK-GIZ2401001,1,298.88
RC-ORAK-GIZ2401002,1,298.88
RC-ORAK-GIZ2401003,1,298.88
RC-ORAK-GIZ2311007,1,341.58
RC-ORAK-GIZ2311008,1,341.58
RC-ORAK-GIZ2311013,1,298.88
RC-ORAK-GIZ2312001,1,341.58
RC-ORAK-GIZ2312009,1,469.67
RC-ORAK-2312005-01,1,373.60
RC-ORAK-GIZ2312006,1,320.23
RC-ORAK-GIZ2301009,1,288.21
RC-ORAK-GIZ2111005,1,256.18
RC-ORAK-GIZ2204005,1,256.18
RC-ORAK-GIZ2206006,1,384.27
RC-ORAK-GIZ2301002,1,384.27
RC-ORAK-GIZ2210002,1,384.27
RC-ORAK-240109-01,1,384.27
RC-ORAK-240201-01,1,277.53
RC-ORAK-240201-02,1,277.53
RC-ORAK-240213-01,1,298.88
RC-ORAK-240202-01,1,256.18
RC-ORAK-240204-01,1,234.84
RC-ORAK-240208-01,1,298.88
RC-ORAK-240304-02,1,298.88
RC-ORAK-240304-03,1,298.88
RC-ORAK-240305-01,1,256.18
RC-ORAK-240211-06,1,256.18
RC-ORAK-240211-01,1,298.88
RC-ORAK-GIZ2306006,1,192.14
RC-ORAK-GIZ2401007,1,213.49
RC-ORAK-240211-02,1,298.88
RC-ORAK-240310-01,1,192.14
RC-ORAK-240401-01,1,277.53
RC-ORAK-240505-01,1,384.27
RC-ORAK-240314-01,1,298.88
RC-ORAK-240801-01,1,256.18
RC-ORAK-240708-01,1,298.88
RC-ORAK-250307-02,1,298.88
RC-ORAK-241109-03,1,298.88
RC-ORAK-241105-02,1,298.88
RC-ORAK-250201-04,1,298.88
RC-ORAK-250307-01,1,298.88
RC-ORAK-250201-02,1,298.88
RC-ORAK-250302-01,1,266.86
RC-ORAK-250302-02,1,320.23
RC-ORAK-241109-07,1,298.88
RC-ORAK-250203-01,1,224.16
RC-ORAK-250201-03,1,224.16
RC-ORAK-240604-01,1,426.97
RC-ORAK-240309-02,1,320.23
RC-ORAK-240501-01,1,298.88
RC-ORAK-240502-01,1,341.58
RC-ORAK-240502-02,1,341.58
RC-ORAK-240503-01,1,341.58
RC-ORAK-240803-02,1,274.48
RC-ORAK-240803-01,1,213.49
RC-ORAK-240803-03,1,384.27
RC-ORAK-240506-01,1,298.88
RC-ORAK-240701-08,1,256.18
RC-ORAK-240701-01,1,256.18
RC-ORAK-240404-01,1,341.58
RC-ORAK-240707-01,1,384.27
RC-ORAK-240603-01,1,384.27
RC-ORAK-241101-01,1,122.00
RC-ORAK-241101-02,1,274.48
RC-ORAK-240606-01,1,384.27
RC-ORAK-240901-01,1,341.58
RC-ORAK-240902-02,1,298.88
RC-ORAK-240702-01,1,298.88
RC-ORAK-240802-01,1,256.18
RC-ORAK-240804-02,1,298.88
RC-ORAK-240802-02,1,277.53
RC-ORAK-240203-01,1,341.58
RC-ORAK-240701-03,1,298.88
RC-ORAK-240603-02,1,384.27
RC-ORAK-GIZ2311010,1,384.27
RC-ORAK-240908-01,1,426.97
RC-ORAK-240908-02,1,426.97
RC-ORAK-240911-01,1,384.27
RC-ORAK-241001-02,1,256.18
RC-ORAK-241103-01,1,304.98
RC-ORAK-241104-01,1,298.88
RC-ORAK-241104-02,1,298.88
RC-ORAK-241105-01,1,234.84
RC-ORAK-SAPE-2,1,243.99
RC-ORAK-SAPE-3,1,243.99
RC-ORAK-240307-01,1,234.84
RC-ORAK-240902-03,1,256.18
RC-ORAK-241001-01,1,256.18
RC-ORAK-241109-01,1,298.88
RC-ORAK-241109-02,1,234.84
RC-ORAK-241204-01,1,298.88
RC-ORAK-241204-02,1,341.58
RC-ORAK-4700-elegance,1,137.24
RC-ORAK-3580-City-Square-029,1,137.24
RC-ORAK-250204-01,1,384.27
RC-ORAK-250304-01,1,234.84
RC-ORAK-240705-01,1,256.18
RC-ORAK-241107-01,1,256.18
RC-ORAK-250201-01,1,298.88
RC-ORAK-241109-05,1,256.18
RC-ORAK-241202-02,1,298.88
RC-ORAK-241202-05,1,298.88
RC-ORAK-241202-07,1,298.88
RC-ORAK-250101-01,1,256.18
RC-ORAK-250111-02,1,384.27
RC-ORAK-250111-03,1,384.27
RC-ORAK-250202-02,1,384.27
RC-ORAK-250306-01,1,277.53
RC-ORAK-2312005-2,1,327.85
RC-ORAK-250501-01,1,384.27
RC-ORAK-250404-02,1,384.27
RC-ORAK-250401-01,1,341.58
RC-ORAK-250401-02,1,341.58
RC-ORAK-250305-01,1,320.23
RC-ORAK-250604-01,1,341.58
RC-ORAK-250402-02,1,396.47
RC-ORAK-250402-03,1,341.58
RC-ORAK-250605-01,1,298.88
RC-ORAK-250402-01,1,373.60
RC-ORAK-250402-04,1,399.52
RC-ORAK-250702-01,1,298.88
RC-ORAK-250702-02,1,298.88
RC-ORAK-250702-03,1,298.88
RC-ORAK-250707-01,1,384.27
RC-ORAK-250603-01,1,277.53
RC-ORAK-250706-01,1,298.88
RC-ORAK-250802-01,1,384.27
RC-ORAK-250805-01,1,426.97
RC-ORAK-250806-01,1,298.88
RC-ORAK-250902-01,1,298.88
RC-ORAK-250904-01,1,341.58
RC-ORAK-251003-01,1,384.27
